TABLE_NAME                     COUNT(COLUMN_NAME)                               
ORGANIZATION_ADDRESS                            3                               
ORGANIZATION_ORG_ADDRESSES                      2                               
ORG_USER                                       27                               
ORG_USER_BELONGS_TO_ORGS                        2                               
ORG_USER_USER_GROUPS                            2                               
ORIGINAL_EQUIP_MANUFACTURER                     2                               
OWNERSHIP_STATE                                10                               
P1                                              9                               
P2                                              9                               
PARTS_UPLOAD                                   15                               
PARTS_UPLOAD_EMAIL                             10                               
PARTY                                          13                               
PARTY_MIG                                      14                               
PART_INFORMATION_AUDIT                         14                               
PART_INVENTORY                                 12                               
PART_INVENTORY_SEARCH_REPORT                   18                               
PART_PAYMENT_INFO                              12                               
PART_REP_CLM_ATTR                               2                               
PART_RETURN                                     7                               
PART_RETURN_ACTION                             12                               
PART_RETURN_AUDIT                              15                               
PART_RETURN_CONFIGURATION                      18                               
PART_RETURN_DEFINITION                         23                               
PAYMENT                                        14                               
PAYMENT_AUDIT                                  20                               
PAYMENT_COMPONENT                              12                               
PAYMENT_CONDITION                              10                               
PAYMENT_DEFINITION                             13                               
PAYMENT_MODIFIER                               21                               
PAYMENT_MODIFIERS_AUDIT                        12                               
PAYMENT_PAYMENT_COMPONENTS                      2                               
PAYMENT_PREVIOUS_CREDIT_MEMOS                   2                               
PAYMENT_SECTION                                10                               
PAYMENT_SECTION_VAR_LEVELS                      2                               
PAYMENT_TEST                                   14                               
PAYMENT_VARIABLE                               12                               
PAYMENT_VARIABLE_LEVEL                         11                               
POLICY                                         19                               
POLICY_ATTACHMENTS                              2                               
POLICY_AUDIT                                   17                               
POLICY_CATEGORY                                 1                               
POLICY_CATEGORY_POLICY                          2                               
POLICY_CRITERIA                                21                               
POLICY_DEFINITION                              39                               
POLICY_DEFINITION_AUDIT                        13                               
POLICY_DEFINITION_LABELS                        2                               
POLICY_DEF_APPLICABILITY_TERMS                  2                               
POLICY_FEES                                     5                               
POLICY_FOR_DEALER_GROUPS                        2                               
POLICY_FOR_ITEMCONDITIONS                       2                               
POLICY_FOR_PRODUCTS                             2                               
POLICY_FOR_SERVICEPROVIDERS                     2                               
POLICY_NOT_FOR_PROVIDERS                        2                               
POLICY_RATE                                    13                               
POLICY_RATES                                   15                               
POLICY_RATES_POLICY_DEFS                        2                               
POLICY_RATES_POLICY_LABELS                      2                               
PREVIOUS_PART_INFO                              2                               
PRICE_MATRIX                                    8                               
PRODUCT_LOCALE                                  2                               
PURPOSE                                        11                               
QUESTION_I18N_TEXT                              2                               
RECOVERABLE_PART                               16                               
RECOVERABLE_PART_BAR_CODES                      2                               
RECOVERY_CLAIM                                 22                               
RECOVERY_CLAIM_INFO                            11                               
RECOVERY_FORMULA                               19                               
RECOVERY_INFO                                  11                               
RECOVERY_INFO_COMMENTS                          2                               
RECOVERY_PAYMENT                               17                               
REC_CLAIM_AUDIT                                16                               
REC_CLAIM_INFO_REC_PARTS                        2                               
REC_CLM_COST_LINE_ITEMS                         2                               
REC_CLM_REC_CLM_AUDITS                          2                               
REC_INFO_REP_PARTS_REC                          2                               
REC_PMT_PREV_CRED_MEMOS                         2                               
RELATE_CAMPAIGN                                12                               
REMOTE_INTERACTION                              5                               
REPEATABLE_TRANSITION                           6                               
REPORTI18NTEXT                                 11                               
REPORT_ANSWER_ATTACHMENTS                       2                               
REPORT_FORM_ANSWER                             14                               
REPORT_FORM_ANSWER_OPTION                      13                               
REPORT_FORM_QUESTION                           16                               
REPORT_I18N_TEXT                                2                               
REPORT_SECTION                                 10                               
REPORT_SECTIONS                                 2                               
REPORT_SECTION_QUESTIONNAIRE                    2                               
REQUEST_WNTY_CVG                                9                               
REQUEST_WNTY_CVG_AUDIT                         13                               
REWRITE_TABLE                                  18                               
ROLE                                           12                               
ROLES_IN_GROUP                                  2                               
ROLE_GROUP                                     17                               
ROLE_SCHEME                                    11                               
ROLE_SCHEME_PURPOSES                            2                               
RULE_FAILURE                                   11                               
SALES_MV                                        3                               
SAMPLE_TABLE_1                                 16                               
SAMPLE_TABLE_NAME                               5                               
SAMPLE_TABLE_NAME43                             5                               
SAMPLE_TABLE_NAME45                             5                               
SAVED_QUERY                                    16                               
SECTION                                        12                               
SECTIONS_IN_PYMT_DEFN                           3                               
SECTION_COST_CATEGORIES                         3                               
SECTION_I18N_TEXT                               2                               
SECTION_QUESTION_ANSWERS                        2                               
SEL_ADDTL_MKTING_INFO                          12                               
SERIALIZED_ITEM_REPLACEMENT                    15                               
SERVICE                                        29                               
SERVICE_INACTIVE_LABOR_DETAILS                  2                               
SERVICE_INFORMATION                            25                               
SERVICE_INFO_FAULT_CLM_ATTR                     2                               
SERVICE_INFO_PART_CLM_ATTR                      2                               
SERVICE_LABOR_PERFORMED                         2                               
SERVICE_MISC_PARTS_REPLACED                     2                               
SERVICE_NONOEMPARTS_REPLACED                    2                               
SERVICE_OEMPARTS_REPLACED                       2                               
SERVICE_PROCEDURE                              13                               
SERVICE_PROCEDURE_DEFINITION                   12                               
SERVICE_PROCEDURE_DEF_LABELS                    2                               
SERVICE_PROC_DEF_COMPS                          3                               
SERVICE_PROVIDER                               16                               
SHIPMENT                                       17                               
SOURCE_WAREHOUSE                               12                               
SPECIFIC_GRAVITY_INFO                          11                               
SPLIT_TYPE                                      3                               
STACK                                           4                               
STACK2                                          5                               
SUPPLIER                                        3                               
SUPPLIER_LABELS                                 2                               
SUPPLIER_LOCATIONS                              4                               
SUPPLIER_PART_RETURN                            8                               
SUP_REC_COST_CATEGORY                          16                               
SUP_REC_PMT_AUDIT                              15                               
SYNC_ERROR                                      3                               
SYNC_FILE                                       9                               
SYNC_STATUS                                     8                               
SYNC_TRACKER                                   24                               
SYNC_TYPE                                       8                               
T1                                              5                               
TAV_DC_001A                                    21                               
TECHNICIAN                                      7                               
TEST_ORD_EXEC                                   4                               
TEST_RETURN_FUNC_TAB                            1                               
TEST_TG                                        12                               
TEXT                                           11                               
TG_ABSTRACT_NOTIFICATION_MESS                  12                               
TG_ACTION_DEFINITION                           13                               
TG_ACTION_LEVEL                                13                               
TG_ACTION_NODE                                 14                               
TG_ADDITIONAL_ATTRIBUTES                       17                               
TG_ADDITIONAL_LABOR_ELIGIBILI                  11                               
TG_ADDITIONAL_PAYMENT_INFO                      7                               
TG_ADDRESS                                     33                               
TG_ADDRESS_BOOK                                13                               
TG_ADDRESS_BOOK_ADDRESS_MAPPI                  16                               
TG_ADDRESS_FOR_TRANSFER                        23                               
TG_ADDTL_MARKETING_INFO                        15                               
TG_ADDTL_MKTING_INFO_OPTIONS                   13                               
TG_ADD_ATTR_ATTR_ASSOC                          3                               
TG_ADD_LBR_EGL_SERVICE_PROVID                  10                               
TG_ADD_MKTING_INFO_OPTNS_MAPP                   3                               
TG_ALARM_CODE                                  14                               
TG_ANS_OPTION_I18N_TEXT                         3                               
TG_APPLICABILITY                               11                               
TG_APPLICABILITY_TYPES_IN_PAR                   3                               
TG_APPLICABLE_CUSTOMER_TYPES                    5                               
TG_APPLICABLE_POLICY                           15                               
TG_ASSEMBLIES_INCLUDED                          4                               
TG_ASSEMBLY                                    16                               
TG_ASSEMBLY_DEFINITION                         14                               
TG_ASSEMBLY_LEVEL                              16                               
TG_ASSIGNMENT_RULE_ACTION                       5                               
TG_ATTRIBUTE                                   13                               
TG_ATTRIBUTE_ASSOCIATION                       17                               
TG_ATTR_VALUE                                  13                               
TG_BASE_PART_RETURN                            18                               
TG_BASE_PRICE_VALUE                            15                               
TG_BATTERY_INFO                                40                               
TG_BATTERY_TEST_SHEET                          23                               
TG_BATTERY_VOLTAGE_INFO                        15                               
TG_BUSINESS_UNIT                                5                               
TG_BU_ORG_MAPPING                               3                               
TG_BU_USER_MAPPING                              3                               
TG_CAMPAIGN                                    27                               
TG_CAMPAIGNS_IN_RELATED_CAMPA                   3                               
TG_CAMPAIGN_ATTACHMENTS                         3                               
TG_CAMPAIGN_COVERAGE                           11                               
TG_CAMPAIGN_COVERAGE_ITEMS                      3                               
TG_CAMPAIGN_LABOR_DETAIL                       16                               
TG_CAMPAIGN_LABOR_LIMITS                        3                               
TG_CAMPAIGN_MISC_PARTS                          3                               
TG_CAMPAIGN_NONOEM_PARTS                        3                               
TG_CAMPAIGN_NOTIFICATION                       16                               
TG_CAMPAIGN_OEM_PARTS                           3                               
TG_CAMPAIGN_RANGES                              3                               
TG_CAMPAIGN_RANGE_COVERAGE                      3                               
TG_CAMPAIGN_SECTION_PRICE                       8                               
TG_CAMPAIGN_SERIAL_NUMBERS                     12                               
TG_CAMPAIGN_SERIAL_RANGE                       14                               
TG_CAMPAIGN_SERVICE_DETAIL                     12                               
TG_CAMPAIGN_SNO_COVERAGE                        3                               
TG_CAMPAIGN_SNO_COVERAGE_SNO                    3                               
TG_CAMPAIGN_STATUS                             12                               
TG_CAMPAIGN_TRAVEL_DETAIL                      23                               
TG_CARRIER                                     16                               
TG_CATEGORY                                    13                               
